,STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
16782,108,2020-01-01 06:25:02,2020-01-01 06:21:44,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16783,108,2020-01-01 06:30:02,2020-01-01 06:21:44,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16784,108,2020-01-01 06:35:02,2020-01-01 06:31:53,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16785,108,2020-01-01 06:40:03,2020-01-01 06:31:53,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16786,108,2020-01-01 06:45:02,2020-01-01 06:42:03,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16787,108,2020-01-01 06:50:02,2020-01-01 06:42:03,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16788,108,2020-01-01 06:55:02,2020-01-01 06:52:12,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16789,108,2020-01-01 07:00:02,2020-01-01 06:52:12,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16790,108,2020-01-01 07:05:02,2020-01-01 07:02:21,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16791,108,2020-01-01 07:10:02,2020-01-01 07:02:21,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16792,108,2020-01-01 07:15:02,2020-01-01 07:12:30,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16793,108,2020-01-01 07:20:02,2020-01-01 07:19:02,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16794,108,2020-01-01 07:25:02,2020-01-01 07:19:02,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16795,108,2020-01-01 07:30:02,2020-01-01 07:28:30,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16796,108,2020-01-01 07:35:02,2020-01-01 07:28:30,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16797,108,2020-01-01 07:40:02,2020-01-01 07:38:40,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16798,108,2020-01-01 07:45:02,2020-01-01 07:38:40,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16799,108,2020-01-01 07:50:02,2020-01-01 07:48:49,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16800,108,2020-01-01 07:55:02,2020-01-01 07:48:49,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16801,108,2020-01-01 08:00:02,2020-01-01 07:58:58,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16802,108,2020-01-01 08:05:02,2020-01-01 07:58:58,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16803,108,2020-01-01 08:10:02,2020-01-01 08:09:07,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16804,108,2020-01-01 08:15:02,2020-01-01 08:09:07,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16805,108,2020-01-01 08:20:02,2020-01-01 08:19:17,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16806,108,2020-01-01 08:25:02,2020-01-01 08:19:17,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16807,108,2020-01-01 08:30:02,2020-01-01 08:29:25,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16808,108,2020-01-01 08:35:02,2020-01-01 08:29:25,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16809,108,2020-01-01 08:40:02,2020-01-01 08:39:36,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16810,108,2020-01-01 08:45:02,2020-01-01 08:39:36,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16811,108,2020-01-01 08:50:02,2020-01-01 08:49:45,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16812,108,2020-01-01 08:55:02,2020-01-01 08:52:56,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16813,108,2020-01-01 09:00:02,2020-01-01 08:52:56,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16814,108,2020-01-01 09:05:02,2020-01-01 09:03:06,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16815,108,2020-01-01 09:10:01,2020-01-01 09:03:06,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16816,108,2020-01-01 09:15:02,2020-01-01 09:13:15,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16817,108,2020-01-01 09:20:02,2020-01-01 09:13:15,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16818,108,2020-01-01 09:25:02,2020-01-01 09:23:23,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16819,108,2020-01-01 09:30:02,2020-01-01 09:23:23,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16820,108,2020-01-01 09:35:02,2020-01-01 09:33:33,AVONDALE ROAD,40,24,16,Open,Avondale Road,53.359406,-6.276142
16821,108,2020-01-01 09:40:02,2020-01-01 09:35:53,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16822,108,2020-01-01 09:45:02,2020-01-01 09:35:53,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16823,108,2020-01-01 09:50:02,2020-01-01 09:46:01,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16824,108,2020-01-01 09:55:02,2020-01-01 09:46:01,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16825,108,2020-01-01 10:00:02,2020-01-01 09:56:11,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16826,108,2020-01-01 10:05:02,2020-01-01 09:56:11,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16827,108,2020-01-01 10:10:02,2020-01-01 10:06:19,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
16828,108,2020-01-01 10:15:02,2020-01-01 10:06:19,AVONDALE ROAD,40,23,17,Open,Avondale Road,53.359406,-6.276142
